Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot
627,391,m2,10,7.0,0.1875,18,96

628,391,m2,2,9.0,0.0454545,2,44
628,391,m2,10,4.0,0.833333,15,18
628,2578,m1,10,4.0,0.277778,5,18
628,391,m2,10,6.0,0.474359,37,78
628,3877,m1,10,6.0,0.0128205,1,78
628,2578,m1,10,6.0,0.025641,2,78
628,391,m2,2,2.0,1.0,46,46
628,3060,m1,2,2.0,0.0869565,4,46
628,2635,m1,2,2.0,0.282609,13,46
628,391,m2,4,5.0,0.932432,69,74

629,1280,m1,8,10.0,0.0694444,5,72
629,391,m2,8,10.0,0.0833333,6,72
629,2578,m1,8,10.0,0.0138889,1,72
629,391,m2,9,3.0,0.833333,45,54
629,2578,m1,9,3.0,0.037037,2,54
629,1280,m1,9,3.0,0.166667,9,54
629,391,m2,8,2.0,1.0,80,80
629,4327,m1,8,2.0,0.025,2,80
629,391,m2,10,5.0,0.9375,15,16
629,391,m2,5,10.0,0.03,3,100
629,391,m2,1,8.0,0.125,4,32
629,4411,m1,1,8.0,0.03125,1,32
629,391,m2,9,4.0,0.833333,55,66
629,2578,m1,9,4.0,0.212121,14,66
629,1280,m1,9,4.0,0.136364,9,66

630,391,m2,3,1.0,1.0,104,104
630,4332,m1,3,1.0,0.115385,12,104
630,2635,m1,3,1.0,0.0673077,7,104
630,391,m2,3,6.0,0.857143,12,14
630,1280,m1,9,8.0,0.304878,25,82
630,391,m2,9,8.0,0.0609756,5,82
630,391,m2,2,5.0,0.925,74,80
630,391,m2,8,10.0,0.0625,5,80
630,2578,m1,8,10.0,0.0125,1,80
630,1280,m1,8,10.0,0.075,6,80
630,4178,m1,3,9.0,0.0172414,1,58
630,391,m2,3,9.0,0.0689655,4,58
630,391,m2,1,4.0,1.0,10,10

631,391,m2,4,7.0,0.74,37,50
631,4220,m1,4,7.0,0.06,3,50
631,391,m2,7,7.0,0.291667,7,24
631,3310,m1,7,7.0,0.25,6,24
631,1280,m1,7,7.0,0.208333,5,24
631,391,m2,3,9.0,0.166667,12,72
631,4178,m1,3,9.0,0.0138889,1,72
631,391,m2,3,4.0,0.85,68,80
631,2635,m1,3,4.0,0.1,8,80
631,3060,m1,3,4.0,0.05,4,80
631,1280,m1,10,7.0,0.211538,22,104
631,391,m2,10,7.0,0.230769,24,104
631,391,m2,8,7.0,0.527778,38,72
631,1280,m1,8,7.0,0.555556,40,72
631,3310,m1,8,7.0,0.0277778,2,72
631,391,m2,4,9.0,0.1875,3,16
631,4178,m1,4,9.0,0.125,2,16
631,391,m2,5,10.0,0.0333333,3,90
631,391,m2,9,1.0,1.0,42,42

632,391,m2,6,1.0,0.986111,71,72
632,4318,m1,6,1.0,0.0416667,3,72
632,391,m2,10,4.0,0.897059,61,68
632,2578,m1,10,4.0,0.176471,12,68
632,1280,m1,10,4.0,0.0147059,1,68
632,391,m2,4,6.0,0.9,9,10
632,4220,m1,4,6.0,0.1,1,10

633,391,m2,1,4.0,1.0,68,68
633,391,m2,8,3.0,0.793103,46,58
633,1280,m1,8,3.0,0.206897,12,58
633,2578,m1,8,3.0,0.0172414,1,58
633,391,m2,5,3.0,0.916667,88,96
633,2635,m1,5,3.0,0.135417,13,96
633,1280,m1,9,4.0,0.25,15,60
633,391,m2,9,4.0,0.733333,44,60
633,2578,m1,9,4.0,0.1,6,60
633,391,m2,9,5.0,0.717949,56,78
633,2578,m1,9,5.0,0.0897436,7,78
633,391,m2,1,6.0,0.709302,61,86
633,391,m2,3,6.0,0.802632,61,76
633,4220,m1,3,6.0,0.0131579,1,76
633,391,m2,8,1.0,1.0,36,36

634,391,m2,10,1.0,1.0,62,62
634,4276,m1,10,1.0,0.0806452,5,62
634,4412,m1,10,1.0,0.0645161,4,62
634,391,m2,7,9.0,0.486842,37,76
634,1280,m1,7,9.0,0.0131579,1,76
634,391,m2,1,8.0,0.185714,13,70
634,391,m2,8,6.0,0.882353,30,34
634,3310,m1,8,6.0,0.176471,6,34
634,1280,m1,8,6.0,0.0882353,3,34
634,391,m2,2,10.0,0.0166667,1,60
634,391,m2,7,10.0,0.109375,7,64
634,2578,m1,7,10.0,0.171875,11,64
634,4402,m1,7,10.0,0.03125,2,64
634,391,m2,2,2.0,1.0,62,62
634,2635,m1,2,2.0,0.241935,15,62
634,3060,m1,2,2.0,0.0322581,2,62
634,1280,m1,9,8.0,0.142857,10,70
634,391,m2,9,8.0,0.0714286,5,70
634,4449,m1,9,8.0,0.0142857,1,70
634,391,m2,9,4.0,0.857143,36,42
634,2578,m1,9,4.0,0.142857,6,42
634,1280,m1,9,4.0,0.214286,9,42

635,391,m2,8,5.0,0.958333,69,72
635,1280,m1,8,5.0,0.125,9,72
635,391,m2,3,7.0,0.802632,61,76
635,4203,m1,3,7.0,0.0526316,4,76
635,391,m2,3,2.0,1.0,78,78
635,2635,m1,3,2.0,0.24359,19,78
635,3060,m1,3,2.0,0.0897436,7,78
635,4332,m1,3,2.0,0.0769231,6,78

636,391,m2,4,1.0,0.984375,63,64
636,2635,m1,4,1.0,0.109375,7,64
636,391,m2,9,7.0,0.111111,2,18
636,1280,m1,9,7.0,0.611111,11,18
636,391,m2,10,4.0,1.0,24,24
636,2578,m1,10,4.0,0.291667,7,24
636,391,m2,2,8.0,0.439394,29,66
636,391,m2,2,2.0,1.0,76,76
636,3060,m1,2,2.0,0.0526316,4,76
636,2635,m1,2,2.0,0.210526,16,76
636,391,m2,4,9.0,0.5,5,10
636,4178,m1,4,9.0,0.4,4,10
636,391,m2,6,10.0,0.0625,5,80
636,1280,m1,6,10.0,0.0625,5,80
636,2578,m1,6,10.0,0.0125,1,80
636,391,m2,5,7.0,0.367647,25,68
636,3310,m1,5,7.0,0.117647,8,68
636,391,m2,8,4.0,0.569444,41,72
636,1280,m1,8,4.0,0.277778,20,72

637,391,m2,7,7.0,0.421053,32,76
637,1280,m1,7,7.0,0.157895,12,76
637,3310,m1,7,7.0,0.0789474,6,76
637,391,m2,5,5.0,0.909091,40,44
637,4220,m1,5,5.0,0.0227273,1,44
637,391,m2,2,2.0,1.0,6,6
637,2635,m1,2,2.0,0.333333,2,6
637,3060,m1,2,2.0,0.166667,1,6
637,391,m2,5,2.0,0.944444,68,72
637,2635,m1,5,2.0,0.0138889,1,72
637,391,m2,8,6.0,0.824324,61,74
637,1280,m1,8,6.0,0.0945946,7,74
637,3310,m1,8,6.0,0.108108,8,74
637,391,m2,2,1.0,1.0,68,68
637,2635,m1,2,1.0,0.0294118,2,68
637,4480,m1,2,1.0,0.0147059,1,68
637,3060,m1,2,1.0,0.0147059,1,68
637,391,m2,4,8.0,0.25,3,12
637,4178,m1,4,8.0,0.333333,4,12
637,391,m2,5,10.0,0.0675676,5,74

638,1280,m1,10,9.0,0.28125,18,64
638,1280,m1,7,7.0,0.152778,11,72
638,391,m2,7,7.0,0.472222,34,72
638,3310,m1,7,7.0,0.138889,10,72
638,391,m2,6,7.0,0.526316,40,76
638,1280,m1,6,7.0,0.0263158,2,76
638,3310,m1,6,7.0,0.0921053,7,76
638,391,m2,1,3.0,1.0,64,64
638,2635,m1,1,3.0,0.203125,13,64
638,4178,m1,4,8.0,0.0657895,5,76
638,391,m2,4,8.0,0.210526,16,76
638,391,m2,2,9.0,0.115385,3,26
638,391,m2,3,8.0,0.283333,17,60
638,391,m2,1,4.0,1.0,116,116
638,2635,m1,1,4.0,0.0431034,5,116
638,1280,m1,10,8.0,0.236364,26,110
638,391,m2,10,8.0,0.0363636,4,110
638,391,m2,1,9.0,0.0119048,1,84

639,391,m2,6,8.0,0.257143,18,70
639,1280,m1,6,8.0,0.1,7,70
639,3310,m1,6,8.0,0.114286,8,70
639,391,m2,4,3.0,0.692308,54,78
639,2635,m1,4,3.0,0.0384615,3,78
639,3060,m1,4,3.0,0.0769231,6,78

640,391,m2,5,4.0,0.933333,28,30
640,2635,m1,5,4.0,0.1,3,30
640,391,m2,3,4.0,1.0,66,66
640,3060,m1,3,4.0,0.030303,2,66
640,391,m2,8,5.0,0.947368,36,38
640,1280,m1,8,5.0,0.157895,6,38
640,391,m2,7,7.0,0.5,5,10
640,3310,m1,7,7.0,0.3,3,10
