Generation,MutationID,MutType,X,Y,Frequency,AlleleCount,Chr_Tot
605,5976,m1,3.0,4,0.0285714,2,70
605,6598,m1,3.0,4,0.0142857,1,70
605,15978,m1,3.0,4,0.0142857,1,70
605,11834,m1,3.0,4,0.0142857,1,70
605,6106,m1,3.0,4,0.0142857,1,70
605,4829,m1,3.0,4,0.0142857,1,70
605,6889,m1,3.0,4,0.0142857,1,70
605,23364,m1,3.0,4,0.0142857,1,70
605,26793,m1,3.0,4,0.0142857,1,70
605,7561,m1,3.0,4,0.0142857,1,70
605,3701,m1,3.0,4,0.0142857,1,70
605,12352,m1,3.0,4,0.0142857,1,70
605,20048,m1,3.0,4,0.0142857,1,70
605,12477,m1,3.0,4,0.0142857,1,70
605,9440,m1,9.0,10,0.0425532,8,188
605,11717,m1,9.0,10,0.0159574,3,188
605,27540,m1,9.0,10,0.00531915,1,188
605,22213,m1,9.0,10,0.00531915,1,188
605,10639,m1,9.0,10,0.00531915,1,188
605,13483,m1,9.0,10,0.0106383,2,188
605,3042,m1,9.0,10,0.0159574,3,188
605,9910,m1,9.0,10,0.00531915,1,188
605,25959,m1,9.0,10,0.0106383,2,188
605,11869,m1,9.0,10,0.00531915,1,188
605,4765,m1,9.0,10,0.0106383,2,188
605,27495,m1,9.0,10,0.00531915,1,188
605,20747,m1,9.0,10,0.00531915,1,188
605,10541,m1,9.0,10,0.0106383,2,188
605,24775,m1,9.0,10,0.00531915,1,188
605,7288,m1,9.0,10,0.00531915,1,188
605,6598,m1,9.0,10,0.00531915,1,188
605,6598,m1,8.0,6,0.00684932,1,146
605,14111,m1,8.0,6,0.00684932,1,146
605,27046,m1,8.0,6,0.00684932,1,146
605,14322,m1,8.0,6,0.00684932,1,146
605,3042,m1,8.0,6,0.0205479,3,146
605,969,m1,8.0,6,0.00684932,1,146
605,11869,m1,8.0,6,0.00684932,1,146
605,25959,m1,8.0,6,0.0136986,2,146
605,15635,m1,8.0,6,0.00684932,1,146
605,25612,m1,8.0,6,0.00684932,1,146
605,240,m1,8.0,6,0.0136986,2,146
605,14340,m1,8.0,6,0.0273973,4,146
605,22736,m1,8.0,6,0.00684932,1,146
605,14457,m1,8.0,6,0.00684932,1,146
605,28196,m1,8.0,6,0.00684932,1,146
605,9123,m1,8.0,6,0.00684932,1,146
605,3701,m1,7.0,4,0.0405405,3,74
605,11834,m1,7.0,4,0.0135135,1,74
605,18061,m1,7.0,4,0.0405405,3,74
605,14322,m1,7.0,4,0.0135135,1,74
605,24395,m1,7.0,4,0.0135135,1,74
605,10128,m1,7.0,4,0.027027,2,74
605,7668,m1,7.0,4,0.0135135,1,74
605,9373,m2,7.0,4,0.0135135,1,74
605,16386,m1,7.0,4,0.0135135,1,74
605,28440,m1,7.0,4,0.0135135,1,74
605,6146,m1,7.0,4,0.0135135,1,74
605,969,m1,7.0,4,0.0135135,1,74
605,4472,m1,7.0,4,0.0135135,1,74
605,18487,m1,7.0,4,0.0135135,1,74
605,28494,m1,2.0,4,0.00819672,1,122
605,20910,m1,2.0,4,0.00819672,1,122
605,2597,m1,2.0,4,0.00819672,1,122
605,16697,m1,2.0,4,0.0163934,2,122
605,3801,m1,2.0,4,0.00819672,1,122
605,3701,m1,2.0,4,0.0245902,3,122
605,14340,m1,2.0,4,0.0163934,2,122
605,10639,m1,2.0,4,0.00819672,1,122
605,7561,m1,2.0,4,0.00819672,1,122
605,9373,m2,2.0,4,0.0245902,3,122
605,19083,m1,2.0,4,0.00819672,1,122
605,5976,m1,2.0,4,0.00819672,1,122
605,28531,m1,2.0,4,0.00819672,1,122
605,28141,m1,2.0,4,0.00819672,1,122
605,15635,m1,2.0,4,0.00819672,1,122
605,11951,m1,2.0,4,0.00819672,1,122
605,27440,m1,1.0,8,0.00746269,1,134
605,3801,m1,1.0,8,0.0447761,6,134
605,19471,m1,1.0,8,0.0149254,2,134
605,3042,m1,1.0,8,0.00746269,1,134
605,12197,m1,1.0,8,0.0149254,2,134
605,19871,m1,1.0,8,0.0149254,2,134
605,12477,m1,1.0,8,0.00746269,1,134
605,17549,m1,1.0,8,0.0223881,3,134
605,12352,m1,1.0,8,0.0149254,2,134
605,3701,m1,1.0,8,0.00746269,1,134
605,23944,m1,1.0,8,0.00746269,1,134
605,11399,m1,1.0,8,0.0298507,4,134
605,10639,m1,1.0,8,0.0149254,2,134
605,23184,m1,1.0,8,0.00746269,1,134
605,17999,m1,1.0,8,0.0149254,2,134
605,28818,m1,1.0,8,0.00746269,1,134
605,9910,m1,1.0,8,0.00746269,1,134

606,3701,m1,1.0,10,0.0178571,3,168
606,21751,m1,1.0,10,0.0178571,3,168
606,12477,m1,1.0,10,0.0119048,2,168
606,22094,m1,1.0,10,0.00595238,1,168
606,19486,m1,1.0,10,0.0238095,4,168
606,5960,m1,1.0,10,0.0119048,2,168
606,19871,m1,1.0,10,0.0119048,2,168
606,10639,m1,1.0,10,0.0119048,2,168
606,23944,m1,1.0,10,0.00595238,1,168
606,26094,m1,1.0,10,0.0119048,2,168
606,18513,m1,1.0,10,0.00595238,1,168
606,3801,m1,1.0,10,0.00595238,1,168
606,1792,m1,1.0,10,0.0119048,2,168
606,6598,m1,1.0,10,0.00595238,1,168
606,19471,m1,1.0,10,0.0178571,3,168
606,26701,m1,1.0,10,0.00595238,1,168
606,28713,m1,1.0,10,0.00595238,1,168
606,27630,m1,1.0,10,0.00595238,1,168
606,17999,m1,1.0,10,0.00595238,1,168
606,28767,m1,1.0,10,0.00595238,1,168
606,27399,m1,1.0,10,0.00595238,1,168
606,12197,m1,1.0,10,0.00595238,1,168
606,11869,m1,9.0,9,0.0153846,2,130
606,14457,m1,9.0,9,0.00769231,1,130
606,980,m1,9.0,9,0.00769231,1,130
606,20747,m1,9.0,9,0.0153846,2,130
606,9440,m1,9.0,9,0.0153846,2,130
606,5960,m1,9.0,9,0.00769231,1,130
606,3042,m1,9.0,9,0.0153846,2,130
606,22900,m1,9.0,9,0.00769231,1,130
606,240,m1,8.0,6,0.03125,1,32
606,27521,m1,8.0,6,0.03125,1,32
606,3042,m1,8.0,6,0.03125,1,32
606,10541,m1,8.0,6,0.03125,1,32
606,15992,m1,5.0,4,0.0833333,1,12
606,18513,m1,5.0,4,0.0833333,1,12
606,27331,m1,5.0,4,0.0833333,1,12
606,6598,m1,5.0,4,0.0833333,1,12
606,28179,m1,2.0,1,0.00675676,1,148
606,3701,m1,2.0,1,0.0135135,2,148
606,24237,m1,2.0,1,0.00675676,1,148
606,10439,m1,2.0,1,0.00675676,1,148
606,12352,m1,2.0,1,0.0135135,2,148
606,22329,m1,2.0,1,0.00675676,1,148
606,240,m1,2.0,1,0.00675676,1,148
606,18478,m1,2.0,1,0.00675676,1,148
606,2597,m1,2.0,1,0.00675676,1,148
606,14340,m1,2.0,1,0.0135135,2,148
606,6106,m1,2.0,1,0.00675676,1,148
606,6598,m1,2.0,1,0.0135135,2,148
606,17864,m1,2.0,1,0.00675676,1,148
606,7561,m1,2.0,1,0.00675676,1,148
606,20910,m1,2.0,1,0.00675676,1,148
606,8741,m1,2.0,1,0.00675676,1,148
606,20048,m1,2.0,1,0.00675676,1,148
606,14308,m1,2.0,1,0.0135135,2,148
606,14457,m1,2.0,1,0.00675676,1,148
606,11869,m1,2.0,1,0.0135135,2,148
606,14111,m1,6.0,1,0.00561798,1,178
606,12175,m1,6.0,1,0.00561798,1,178
606,24849,m1,6.0,1,0.00561798,1,178
606,6106,m1,6.0,1,0.00561798,1,178
606,10128,m1,6.0,1,0.0168539,3,178
606,12352,m1,6.0,1,0.011236,2,178
606,3042,m1,6.0,1,0.00561798,1,178
606,12745,m2,6.0,1,0.00561798,1,178
606,6598,m1,6.0,1,0.00561798,1,178
606,9076,m1,6.0,1,0.0168539,3,178
606,26931,m1,6.0,1,0.00561798,1,178
606,14457,m1,6.0,1,0.00561798,1,178
606,14340,m1,6.0,1,0.011236,2,178
606,6146,m1,6.0,1,0.00561798,1,178
606,16104,m1,6.0,1,0.00561798,1,178
606,16697,m1,6.0,1,0.00561798,1,178
606,3701,m1,6.0,1,0.00561798,1,178
606,7714,m1,6.0,1,0.00561798,1,178
606,15992,m1,6.0,1,0.00561798,1,178
606,3118,m1,6.0,1,0.00561798,1,178

607,23158,m1,4.0,10,0.015625,1,64
607,17999,m1,4.0,10,0.015625,1,64
607,20910,m1,4.0,10,0.015625,1,64
607,7714,m1,4.0,10,0.015625,1,64
607,6598,m1,4.0,10,0.0625,4,64
607,21751,m1,4.0,10,0.015625,1,64
607,10439,m1,4.0,10,0.015625,1,64
607,9440,m1,4.0,10,0.015625,1,64
607,3701,m1,4.0,10,0.015625,1,64
607,6598,m1,9.0,8,0.111111,2,18
607,240,m1,9.0,8,0.0555556,1,18
607,9910,m1,9.0,8,0.0555556,1,18
607,9123,m1,9.0,8,0.0555556,1,18
607,3042,m1,10.0,9,0.0230769,3,130
607,5037,m1,10.0,9,0.00769231,1,130
607,3701,m1,10.0,9,0.00769231,1,130
607,11869,m1,10.0,9,0.0153846,2,130
607,12914,m1,10.0,9,0.0307692,4,130
607,980,m1,10.0,9,0.00769231,1,130
607,15635,m1,10.0,9,0.00769231,1,130
607,10541,m1,10.0,9,0.00769231,1,130
607,26388,m1,10.0,9,0.00769231,1,130
607,6697,m1,10.0,9,0.00769231,1,130
607,4765,m1,10.0,9,0.0153846,2,130
607,20017,m1,10.0,9,0.00769231,1,130
607,9440,m1,10.0,9,0.00769231,1,130
607,6598,m1,10.0,9,0.00769231,1,130
607,14457,m1,10.0,3,0.0154639,3,194
607,6598,m1,10.0,3,0.00515464,1,194
607,3701,m1,10.0,3,0.0206186,4,194
607,12745,m2,10.0,3,0.0103093,2,194
607,12699,m1,10.0,3,0.00515464,1,194
607,8455,m1,10.0,3,0.00515464,1,194
607,27046,m1,10.0,3,0.00515464,1,194
607,240,m1,10.0,3,0.00515464,1,194
607,7668,m1,10.0,3,0.0103093,2,194
607,24835,m1,10.0,3,0.00515464,1,194
607,21032,m1,10.0,3,0.0103093,2,194
607,10541,m1,10.0,3,0.00515464,1,194
