Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
602.0,1280.0,7.0,5.0,0.0166667,1.0,60.0
602.0,1280.0,7.0,6.0,0.12,6.0,50.0
602.0,3310.0,7.0,6.0,0.06,3.0,50.0
602.0,3310.0,7.0,7.0,0.444444,32.0,72.0
602.0,1280.0,7.0,7.0,0.111111,8.0,72.0
602.0,2578.0,7.0,7.0,0.0277778,2.0,72.0
602.0,2578.0,7.0,8.0,0.205128,16.0,78.0
602.0,1280.0,7.0,8.0,0.0128205,1.0,78.0
602.0,3310.0,7.0,8.0,0.0641026,5.0,78.0
602.0,2578.0,7.0,9.0,0.0428571,3.0,70.0
602.0,1280.0,7.0,9.0,0.0142857,1.0,70.0
602.0,2578.0,7.0,10.0,0.0694444,5.0,72.0
602.0,1280.0,8.0,3.0,0.0227273,2.0,88.0
602.0,1280.0,8.0,4.0,0.263889,19.0,72.0
602.0,2578.0,8.0,4.0,0.0138889,1.0,72.0
602.0,2578.0,8.0,5.0,0.0125,1.0,80.0
602.0,1280.0,8.0,5.0,0.0125,1.0,80.0
602.0,1280.0,8.0,6.0,0.0606061,4.0,66.0
602.0,1280.0,8.0,7.0,0.24359,19.0,78.0
602.0,3310.0,8.0,7.0,0.025641,2.0,78.0
602.0,2578.0,8.0,8.0,0.046875,3.0,64.0
602.0,1280.0,8.0,8.0,0.0625,4.0,64.0
602.0,3310.0,8.0,8.0,0.015625,1.0,64.0
602.0,2578.0,8.0,9.0,0.025641,2.0,78.0
602.0,2578.0,9.0,2.0,0.170455,15.0,88.0
602.0,2578.0,9.0,3.0,0.0192308,1.0,52.0
602.0,2578.0,9.0,4.0,0.015625,1.0,64.0
602.0,1280.0,9.0,4.0,0.09375,6.0,64.0
602.0,1280.0,9.0,5.0,0.0833333,6.0,72.0
602.0,1280.0,9.0,6.0,0.125,10.0,80.0
602.0,1280.0,9.0,7.0,0.348485,23.0,66.0
602.0,2578.0,9.0,7.0,0.030303,2.0,66.0
602.0,1280.0,9.0,8.0,0.125,7.0,56.0
602.0,1280.0,9.0,9.0,0.0666667,4.0,60.0
602.0,1280.0,9.0,10.0,0.0108696,1.0,92.0
602.0,2578.0,10.0,1.0,0.0454545,5.0,110.0
602.0,2578.0,10.0,2.0,0.0375,3.0,80.0
602.0,2578.0,10.0,3.0,0.05,4.0,80.0
602.0,2578.0,10.0,4.0,0.192308,15.0,78.0
602.0,2578.0,10.0,5.0,0.0714286,6.0,84.0
602.0,1280.0,10.0,6.0,0.1125,9.0,80.0
602.0,2578.0,10.0,7.0,0.175676,13.0,74.0
602.0,1280.0,10.0,7.0,0.418919,31.0,74.0
602.0,1280.0,10.0,8.0,0.359375,23.0,64.0
602.0,2578.0,10.0,8.0,0.015625,1.0,64.0
602.0,1280.0,10.0,9.0,0.256757,19.0,74.0
602.0,1280.0,10.0,10.0,0.0217391,2.0,92.0

603.0,3310.0,5.0,6.0,0.025,2.0,80.0
603.0,3310.0,5.0,7.0,0.132353,9.0,68.0
603.0,3310.0,5.0,8.0,0.097561,8.0,82.0
603.0,2578.0,5.0,9.0,0.0595238,5.0,84.0
603.0,1280.0,6.0,4.0,0.0925926,5.0,54.0
603.0,3310.0,6.0,6.0,0.27027,20.0,74.0
603.0,3310.0,6.0,7.0,0.333333,24.0,72.0
603.0,2578.0,6.0,7.0,0.0138889,1.0,72.0
603.0,3310.0,6.0,8.0,0.203125,13.0,64.0
603.0,2578.0,6.0,9.0,0.016129,1.0,62.0
603.0,2578.0,6.0,10.0,0.119048,10.0,84.0
603.0,1280.0,7.0,3.0,0.0135135,1.0,74.0
603.0,2578.0,7.0,4.0,0.1,7.0,70.0
603.0,1280.0,7.0,4.0,0.257143,18.0,70.0
603.0,2578.0,7.0,5.0,0.0147059,1.0,68.0
